time,id,captured,test1,test2,test3,test4,test5,test6
73,1,1,0,0,0,0,0,0
74,1,1,0,0,0,0,0,0
75,1,1,0,0,0,0,0,1
59,2,1,0,0,0,1,0,0
60,2,1,1,0,0,0,0,1
61,2,0,NA,NA,NA,NA,NA,NA
62,2,1,1,1,0,0,1,1
56,3,1,0,0,0,0,0,0
57,3,1,0,0,0,0,1,0
58,3,1,0,0,0,0,0,0
59,3,1,0,0,0,0,0,0
60,3,1,0,0,0,0,0,0
61,3,1,0,0,0,1,1,0
62,3,1,1,0,1,1,1,0
69,4,1,0,0,0,1,0,0
70,4,1,0,0,0,0,0,0
71,4,1,0,0,0,0,0,0
72,4,1,0,0,0,0,1,0
73,4,1,0,0,0,0,0,0
9,5,0,NA,NA,NA,NA,NA,NA
10,5,1,0,0,0,0,0,0
11,5,1,0,1,0,1,1,1
60,6,1,0,0,0,0,0,0
61,6,1,0,0,0,0,0,0
62,6,1,0,0,0,0,0,0
63,6,0,NA,NA,NA,NA,NA,NA
70,7,1,0,0,0,0,0,0
71,7,1,0,0,0,0,0,0
72,7,1,0,1,0,0,0,0
73,7,1,0,0,0,0,0,0
74,7,0,NA,NA,NA,NA,NA,NA
75,7,1,0,0,0,0,0,0
76,7,1,0,0,0,0,0,0
77,7,1,0,0,0,0,0,0
78,7,1,0,0,0,0,0,0
79,7,0,NA,NA,NA,NA,NA,NA
16,8,1,0,0,0,1,0,0
17,8,1,0,0,0,0,0,0
18,8,1,0,1,0,0,0,0
19,8,1,0,0,0,1,0,0
20,8,0,NA,NA,NA,NA,NA,NA
38,9,1,0,0,0,0,0,0
39,9,1,0,0,0,0,0,0
40,9,1,0,0,0,0,0,0
41,9,1,0,0,0,0,0,0
42,9,1,0,0,0,0,1,0
43,9,1,0,0,0,0,0,0
44,9,1,0,0,0,0,0,0
45,9,1,0,0,0,1,0,0
43,10,1,0,0,0,1,0,0
44,10,1,1,0,0,0,0,0
45,10,1,0,0,0,0,0,0
45,11,1,0,0,0,0,0,0
46,11,1,0,0,0,0,0,0
