time,id,captured,test1,test2,test3,test4,test5,test6
13,1,1,0,0,0,0,0,0
14,1,1,0,0,0,0,0,0
15,1,1,0,0,0,0,0,0
16,1,0,NA,NA,NA,NA,NA,NA
17,1,1,0,0,0,0,1,0
14,2,1,0,0,0,0,0,0
15,2,1,0,0,0,0,0,0
16,2,1,0,0,0,0,0,0
17,2,0,NA,NA,NA,NA,NA,NA
18,2,1,0,0,0,0,0,0
19,2,0,NA,NA,NA,NA,NA,NA
20,2,1,0,0,0,0,0,0
15,3,1,0,0,0,0,0,0
16,3,1,0,0,0,0,0,0
17,3,0,NA,NA,NA,NA,NA,NA
18,3,1,0,0,0,0,0,1
19,3,0,NA,NA,NA,NA,NA,NA
20,3,1,0,0,0,0,0,0
21,3,1,0,0,0,0,0,0
5,4,0,NA,NA,NA,NA,NA,NA
6,4,1,0,0,0,0,0,0
7,4,1,0,0,0,0,0,0
8,4,1,0,1,0,1,1,0
9,4,1,1,0,1,1,1,0
10,5,1,0,1,0,0,1,0
11,5,0,NA,NA,NA,NA,NA,NA
12,5,1,0,1,0,1,1,1
13,5,1,0,0,0,1,1,1
14,5,1,0,0,0,1,1,1
15,6,0,NA,NA,NA,NA,NA,NA
16,6,0,NA,NA,NA,NA,NA,NA
17,6,1,0,0,0,0,0,1
18,6,0,NA,NA,NA,NA,NA,NA
19,7,1,0,0,0,0,0,0
20,7,1,0,0,0,0,0,0
21,7,1,0,1,0,0,0,1
22,7,1,0,0,0,0,0,0
23,7,1,0,1,0,0,0,0
17,8,1,1,0,0,1,0,0
18,8,1,0,0,0,0,0,0
19,8,1,0,0,0,0,0,0
20,8,1,0,0,0,0,0,0
21,8,1,0,0,0,1,1,0
22,8,0,NA,NA,NA,NA,NA,NA
23,8,1,0,1,0,0,0,1
24,8,1,1,0,0,0,1,0
10,9,1,0,0,1,0,0,0
11,9,1,0,0,0,0,0,0
12,9,0,NA,NA,NA,NA,NA,NA
13,9,1,0,0,0,0,0,0
14,9,1,0,1,0,0,0,0
15,9,1,0,0,0,0,0,0
8,10,0,NA,NA,NA,NA,NA,NA
9,10,0,NA,NA,NA,NA,NA,NA
10,10,1,0,0,0,0,0,1
11,10,1,0,0,0,0,0,0
12,10,1,0,0,0,0,0,0
13,10,0,NA,NA,NA,NA,NA,NA
14,10,1,0,0,0,0,0,0
9,11,0,NA,NA,NA,NA,NA,NA
10,11,1,0,0,0,0,0,0
11,11,1,0,0,0,1,0,0
1,12,1,0,0,0,0,0,0
2,12,0,NA,NA,NA,NA,NA,NA
3,12,1,0,0,0,0,0,0
4,12,1,0,0,0,0,0,0
5,12,1,0,0,0,0,0,0
6,12,1,0,0,0,0,0,0
