time,id,captured,test1,test2,test3,test4,test5,test6
12,1,0,NA,NA,NA,NA,NA,NA
13,1,1,0,NA,NA,NA,NA,NA
14,1,1,NA,NA,NA,0,NA,0
15,1,0,NA,NA,NA,NA,NA,NA
16,1,1,0,NA,0,0,NA,0
17,1,1,NA,NA,NA,0,0,0
18,1,1,0,NA,NA,NA,0,0
19,1,1,NA,NA,0,NA,0,NA
13,2,0,NA,NA,NA,NA,NA,NA
14,2,1,NA,NA,0,NA,0,NA
15,2,0,NA,NA,NA,NA,NA,NA
16,2,1,0,NA,NA,NA,NA,NA
17,2,1,NA,0,0,NA,NA,0
18,3,1,NA,NA,0,NA,NA,NA
19,3,0,NA,NA,NA,NA,NA,NA
20,3,0,NA,NA,NA,NA,NA,NA
21,3,0,NA,NA,NA,NA,NA,NA
9,4,0,NA,NA,NA,NA,NA,NA
10,4,1,NA,0,NA,0,NA,0
11,4,0,NA,NA,NA,NA,NA,NA
12,4,1,0,0,NA,1,0,0
13,4,1,NA,NA,NA,0,NA,NA
20,5,0,NA,NA,NA,NA,NA,NA
21,5,0,NA,NA,NA,NA,NA,NA
22,5,0,NA,NA,NA,NA,NA,NA
23,5,1,NA,NA,0,0,NA,NA
24,5,1,0,NA,NA,0,0,NA
8,6,1,0,0,0,1,NA,NA
9,6,0,NA,NA,NA,NA,NA,NA
10,6,1,NA,NA,NA,0,0,NA
11,6,1,NA,0,NA,NA,0,NA
12,6,0,NA,NA,NA,NA,NA,NA
13,6,0,NA,NA,NA,NA,NA,NA
14,6,0,NA,NA,NA,NA,NA,NA
15,7,0,NA,NA,NA,NA,NA,NA
16,7,1,NA,NA,0,NA,0,NA
17,7,1,NA,NA,NA,0,0,NA
18,7,0,NA,NA,NA,NA,NA,NA
13,8,1,NA,NA,NA,0,NA,NA
14,8,0,NA,NA,NA,NA,NA,NA
15,8,0,NA,NA,NA,NA,NA,NA
11,9,0,NA,NA,NA,NA,NA,NA
12,9,1,0,1,0,NA,NA,0
13,9,0,NA,NA,NA,NA,NA,NA
14,9,0,NA,NA,NA,NA,NA,NA
15,9,1,NA,NA,NA,1,1,0
16,9,0,NA,NA,NA,NA,NA,NA
4,10,1,NA,NA,0,1,1,0
5,10,0,NA,NA,NA,NA,NA,NA
6,10,0,NA,NA,NA,NA,NA,NA
7,10,1,NA,0,0,NA,NA,NA
8,10,1,NA,NA,0,NA,1,1
9,10,0,NA,NA,NA,NA,NA,NA
10,10,1,0,NA,NA,0,NA,0
7,11,0,NA,NA,NA,NA,NA,NA
8,11,1,NA,0,0,NA,0,NA
9,11,0,NA,NA,NA,NA,NA,NA
8,12,0,NA,NA,NA,NA,NA,NA
9,12,0,NA,NA,NA,NA,NA,NA
10,12,0,NA,NA,NA,NA,NA,NA
11,12,1,0,NA,NA,NA,1,NA
12,12,1,1,0,NA,1,0,1
13,12,0,NA,NA,NA,NA,NA,NA
14,12,1,NA,NA,NA,NA,1,NA
5,13,0,NA,NA,NA,NA,NA,NA
6,13,0,NA,NA,NA,NA,NA,NA
7,13,0,NA,NA,NA,NA,NA,NA
8,13,1,1,0,NA,0,NA,NA
18,14,0,NA,NA,NA,NA,NA,NA
19,14,0,NA,NA,NA,NA,NA,NA
20,14,0,NA,NA,NA,NA,NA,NA
21,14,0,NA,NA,NA,NA,NA,NA
22,14,1,NA,NA,0,NA,1,NA
23,14,0,NA,NA,NA,NA,NA,NA
24,14,1,0,NA,NA,1,NA,NA
12,15,0,NA,NA,NA,NA,NA,NA
13,15,1,NA,NA,NA,NA,NA,NA
14,15,0,NA,NA,NA,NA,NA,NA
15,15,1,NA,0,0,NA,NA,0
16,15,1,NA,0,0,NA,NA,1
6,16,0,NA,NA,NA,NA,NA,NA
7,16,0,NA,NA,NA,NA,NA,NA
8,16,0,NA,NA,NA,NA,NA,NA
